queid,userid,result,difficulty,tstamp
2,user199,0,medium,75581
23,user198,0,medium,67457
22,user200,0,very hard,55748
23,user179,0,easy,67236
25,user196,0,very hard,18158
2,user202,0,medium,58588
29,user178,0,hard,67152
24,user175,1,easy,51235
3,user195,0,medium,74997
26,user186,0,medium,46841
3,user197,0,medium,98701
3,user199,0,easy,2147483647
9,user187,1,easy,2147483647
27,user186,0,medium,15014
24,user179,0,medium,40719
34,user170,0,medium,142270
30,user178,1,medium,27235
26,user196,0,very hard,2147483647
1,user205,0,hard,2147483647
4,user184,0,easy,104212
10,user187,1,easy,24772
23,user200,1,very hard,76471
28,user186,0,medium,2147483647
4,user195,0,very hard,52935
4,user197,0,hard,44952
3,user202,1,medium,60174
24,user198,0,medium,2147483647
25,user175,1,easy,2147483647
11,user187,0,easy,13738
4,user199,0,hard,45918
31,user178,0,hard,40016
29,user186,0,hard,22359
5,user184,0,easy,43214
25,user179,0,hard,71965
32,user178,0,very hard,24343
6,user192,0,easy,2147483647
21,user162,0,easy,55117
2,user205,0,medium,62493
30,user186,1,easy,28786
24,user200,0,very hard,59128
12,user187,0,hard,44410
5,user199,0,hard,44786
5,user195,0,very hard,57747
27,user196,0,very hard,85210
4,user202,0,hard,60727
21,user161,0,medium,62690
31,user186,1,medium,17565
33,user178,1,hard,31008
13,user187,0,easy,17385
5,user197,0,medium,77394
6,user184,0,easy,47083
28,user196,0,very hard,24443
26,user175,1,medium,86236
14,user187,0,easy,16251
7,user192,1,easy,47840
32,user186,1,easy,24502
6,user195,0,very hard,43813
6,user197,0,very hard,25729
25,user198,0,hard,100658
29,user196,0,very hard,23406
26,user179,1,medium,2147483647
6,user199,0,hard,61675
33,user186,1,medium,19694
34,user178,0,medium,48246
22,user162,0,medium,73359
7,user195,0,very hard,19916
15,user187,0,medium,2147483647
3,user205,0,hard,82805
30,user196,1,very hard,16636
25,user200,0,very hard,85191
7,user197,0,medium,36109
5,user202,0,very hard,78419
7,user184,0,easy,56292
22,user161,1,easy,80948
34,user186,0,easy,25723
16,user187,0,medium,18143
31,user196,1,very hard,15463
25,user155,1,very hard,413115
25,user155,1,very hard,413115
35,user178,0,medium,39259
27,user179,0,medium,48366
6,user202,0,easy,16925
23,user161,0,easy,16527
27,user175,1,medium,72868
23,user162,0,medium,39071
17,user187,1,easy,12985
7,user199,0,medium,48131
35,user170,0,medium,206777
35,user186,0,medium,18781
8,user195,0,very hard,44447
26,user198,0,hard,69589
36,user178,0,medium,20202
8,user184,0,easy,39571
8,user197,0,very hard,39800
26,user200,0,very hard,53644
36,user186,0,easy,22401
8,user199,0,medium,24871
24,user162,0,medium,30659
28,user179,0,easy,42226
37,user178,0,very hard,26742
24,user161,0,medium,48748
9,user195,0,very hard,45393
9,user199,0,easy,22139
18,user187,0,medium,52497
7,user202,0,medium,62019
32,user196,0,very hard,71150
25,user161,0,medium,12668
25,user162,0,medium,27543
9,user197,0,very hard,45118
9,user184,0,easy,48422
37,user186,0,hard,40986
8,user192,0,easy,145454
27,user198,0,very hard,65170
10,user195,0,very hard,24201
26,user162,0,easy,13963
28,user175,1,easy,82619
4,user205,1,medium,123393
36,user170,1,easy,83845
8,user202,0,easy,25815
26,user161,0,medium,21608
33,user196,1,very hard,26380
19,user187,0,easy,33390
9,user192,0,easy,21461
9,user202,0,easy,10551
38,user178,0,very hard,2147483647
27,user161,0,medium,14634
27,user162,0,easy,23897
28,user198,0,hard,33262
11,user195,0,very hard,30814
34,user196,0,very hard,18982
29,user179,0,medium,72777
10,user199,1,medium,62942
38,user186,0,very hard,47553
20,user187,0,easy,28971
27,user200,0,very hard,104567
10,user197,1,very hard,68865
35,user196,1,very hard,24271
29,user175,1,easy,59097
10,user202,0,medium,2147483647
39,user178,1,hard,40166
28,user162,0,medium,40254
39,user186,1,hard,29961
28,user161,0,medium,45243
10,user184,0,easy,87017
12,user195,1,very hard,42546
11,user199,0,medium,39647
29,user161,0,hard,4794
29,user198,0,easy,47583
28,user200,0,very hard,32591
11,user202,0,easy,19948
29,user162,0,easy,13787
36,user196,0,very hard,25505
30,user161,0,hard,6228
30,user179,1,hard,58713
30,user162,0,medium,3863
10,user192,0,easy,79577
1,user182,0,medium,25819
31,user161,0,hard,3510
40,user178,0,hard,37738
31,user162,0,medium,6634
11,user197,0,very hard,50569
13,user195,1,very hard,32516
11,user192,0,easy,11356
32,user161,0,hard,12616
32,user162,0,medium,7304
5,user205,0,medium,117167
33,user162,0,medium,4610
30,user175,1,easy,63607
37,user196,1,very hard,36941
33,user161,0,very hard,10074
40,user186,0,hard,54191
12,user192,0,easy,18359
34,user161,0,hard,3039
34,user162,0,medium,5924
11,user184,0,easy,58890
12,user202,0,very hard,48483
29,user200,1,very hard,52964
14,user195,0,very hard,23770
35,user161,0,medium,3750
12,user199,0,hard,61997
35,user162,0,medium,7396
2,user182,0,medium,46078
12,user197,0,very hard,35755
31,user179,1,easy,53343
36,user161,0,hard,6900
30,user198,1,medium,69784
36,user162,0,medium,6593
37,user161,0,medium,4638
37,user170,1,medium,155864
13,user192,0,easy,24746
37,user162,0,medium,4475
38,user161,0,hard,7083
3,user182,0,hard,21844
30,user200,1,very hard,33290
32,user179,0,hard,22021
38,user196,0,very hard,44882
38,user162,0,medium,6968
15,user195,0,very hard,34339
39,user161,0,hard,4374
31,user198,1,medium,25576
13,user199,1,easy,40170
31,user175,1,easy,55687
39,user162,1,medium,6569
40,user161,0,hard,6341
13,user197,0,very hard,45015
13,user202,1,hard,54429
14,user192,0,easy,31583
16,user195,0,very hard,16208
40,user162,0,medium,5746
39,user196,0,very hard,30255
14,user202,0,very hard,25022
14,user199,0,medium,36228
4,user182,0,very hard,49074
33,user179,0,medium,46553
15,user192,0,easy,26073
14,user197,1,very hard,28515
31,user200,0,very hard,49340
6,user205,0,hard,104519
32,user198,0,hard,43341
32,user175,1,easy,41744
12,user184,0,easy,100671
17,user195,0,very hard,40663
16,user192,0,easy,14041
5,user182,0,hard,26707
40,user196,0,very hard,45761
34,user179,0,easy,30635
32,user200,0,very hard,31938
15,user199,0,medium,42948
17,user192,0,easy,22664
15,user202,0,very hard,47577
6,user182,0,very hard,23832
16,user199,0,medium,14745
33,user198,0,easy,61454
38,user170,0,hard,134690
35,user179,0,medium,41387
18,user192,0,easy,30363
33,user175,0,hard,76710
16,user202,0,easy,32058
7,user182,0,easy,26154
17,user199,0,medium,22053
18,user195,0,very hard,70427
13,user184,1,easy,75414
15,user197,0,very hard,103904
17,user202,0,medium,19495
36,user179,0,medium,29577
34,user198,0,medium,42969
19,user192,1,easy,32544
34,user175,0,easy,34268
33,user200,0,very hard,92821
20,user192,0,easy,15555
19,user195,1,very hard,43950
16,user197,0,very hard,26190
8,user182,0,easy,53338
35,user198,0,hard,40613
34,user200,0,very hard,23857
9,user182,0,medium,18660
20,user195,0,very hard,29180
21,user159,1,very hard,153425
37,user179,1,easy,57054
18,user199,0,hard,83705
14,user184,0,easy,83155
35,user175,0,easy,52802
10,user182,1,easy,12052
17,user197,0,very hard,40856
36,user198,0,easy,26199
18,user202,0,very hard,77085
11,user182,0,medium,16095
38,user179,0,hard,35253
15,user184,0,easy,42828
12,user182,0,very hard,20616
35,user200,0,very hard,64084
37,user198,0,hard,34540
36,user175,1,easy,36434
19,user202,1,easy,36482
18,user197,0,very hard,48646
19,user199,0,medium,58831
39,user179,0,easy,35986
13,user182,0,medium,2147483647
16,user184,0,easy,32506
22,user159,0,very hard,88763
20,user202,1,very hard,42661
7,user205,0,hard,281119
14,user182,0,hard,19443
19,user197,1,very hard,56528
37,user175,1,medium,66641
20,user199,0,medium,60420
39,user170,1,medium,231033
23,user159,0,very hard,41667
36,user200,0,very hard,78138
38,user198,0,hard,77192
15,user182,0,medium,24587
40,user179,0,easy,55050
17,user184,0,easy,62359
20,user197,0,very hard,31748
16,user182,0,medium,18865
39,user198,0,medium,33130
1,user189,1,easy,38364
17,user182,1,easy,10346
37,user200,0,very hard,38853
24,user159,1,easy,52434
40,user198,0,very hard,14698
18,user182,0,easy,21761
38,user175,0,hard,80473
19,user182,0,easy,14349
25,user159,0,hard,25880
25,user159,0,hard,25880
38,user200,0,very hard,49100
18,user184,0,easy,79870
20,user182,0,easy,19347
8,user205,0,medium,136563
2,user189,0,easy,2147483647
39,user200,0,very hard,37601
9,user205,0,medium,46547
27,user159,0,hard,97692
40,user200,0,very hard,52977
