queid,userid,result,difficulty,tstamp
10,user182,0,hard,11282
7,user177,1,medium,21239
16,user185,0,easy,25747
2,user193,1,easy,152955
11,user182,0,hard,10920
19,user189,0,easy,142696
29,user160,0,very hard,100598
29,user152,1,easy,116150
12,user182,0,medium,14189
4,user206,1,easy,74255
18,user176,1,easy,107350
20,user191,0,easy,104600
24,user159,1,very hard,55307
6,user180,0,medium,127456
29,user153,1,easy,61214
4,user188,0,very hard,168101
8,user177,1,medium,48594
9,user190,0,easy,93715
7,user180,1,easy,8618
5,user206,0,hard,1000
3,user181,1,easy,2147483647
17,user185,0,medium,2147483647
19,user174,0,easy,80768
20,user183,0,hard,158022
20,user189,0,medium,54551
21,user191,1,easy,36959
5,user188,0,hard,1000
8,user180,1,easy,28446
9,user177,0,easy,23790
22,user191,1,easy,13970
21,user189,1,medium,24715
1,user185,0,medium,4285
17,user207,1,medium,212504
17,user207,1,medium,212504
17,user207,1,medium,212504
19,user176,0,hard,1000
2,user185,1,easy,2147483647
2,user185,1,easy,2147483647
9,user180,1,easy,28565
3,user201,1,easy,155432
20,user194,1,easy,178476
17,user203,0,very hard,2147483647
22,user189,1,easy,26535
1,user185,0,easy,3358
2,user185,1,easy,3667
30,user152,1,easy,115675
10,user177,0,medium,61390
23,user191,0,easy,59978
3,user185,0,easy,16039
30,user160,0,easy,120662
30,user153,0,easy,120681
21,user194,1,easy,43953
23,user189,0,medium,38881
4,user185,0,medium,15945
21,user183,0,medium,104710
24,user191,0,medium,20645
10,user190,1,easy,128331
11,user177,0,medium,28782
6,user188,0,very hard,106668
13,user182,0,medium,162585
6,user206,0,easy,142128
25,user191,0,hard,16658
26,user191,1,medium,2147
14,user182,0,very hard,13535
27,user191,0,hard,2189
28,user191,0,hard,1856
5,user185,0,easy,36834
7,user206,1,easy,11782
18,user203,0,easy,89642
3,user193,0,medium,215964
29,user191,1,hard,6782
7,user188,1,easy,35034
20,user176,1,easy,114759
6,user185,1,medium,12640
30,user191,1,hard,6722
24,user189,0,hard,77294
8,user206,1,easy,33225
22,user183,0,medium,77097
22,user194,0,hard,84228
15,user182,1,hard,55032
25,user159,1,hard,1000
7,user185,0,easy,40940
12,user177,0,hard,95097
3,user204,0,very hard,305165
8,user185,0,medium,5777
25,user189,0,hard,43923
4,user181,0,hard,244544
10,user180,0,hard,186165
23,user183,0,hard,43031
19,user203,0,medium,85053
9,user206,1,easy,48219
9,user185,1,medium,17556
8,user188,1,very hard,81666
10,user185,0,easy,4669
20,user207,1,medium,215381
26,user159,0,hard,1000
20,user174,0,easy,233549
26,user189,1,easy,43418
11,user185,1,easy,25411
24,user183,1,easy,46815
11,user180,0,very hard,53663
4,user201,1,easy,237318
12,user185,0,medium,10273
12,user185,0,medium,10273
27,user189,1,easy,21017
13,user177,0,medium,87479
27,user159,1,hard,1000
12,user180,0,easy,20431
23,user194,1,hard,125659
21,user176,0,hard,155739
9,user188,0,very hard,72485
28,user189,1,easy,18458
11,user190,0,easy,228996
28,user159,1,hard,1000
10,user188,0,very hard,29887
21,user207,1,hard,96838
14,user177,1,very hard,50782
22,user176,0,easy,37613
29,user159,1,hard,1000
30,user159,0,hard,1000
14,user185,0,easy,69760
5,user201,1,easy,73726
15,user177,0,hard,13029
15,user185,0,easy,5103
29,user189,1,medium,53627
20,user203,0,hard,142298
5,user181,0,easy,155375
12,user190,0,medium,53340
21,user174,1,medium,127630
25,user183,1,hard,119066
16,user185,0,easy,5125
22,user207,1,medium,52618
16,user185,0,easy,5125
13,user180,1,easy,93201
4,user204,0,hard,191262
11,user188,0,very hard,55956
18,user185,0,easy,1968
6,user181,0,very hard,27384
19,user185,1,easy,4089
24,user194,0,easy,108390
20,user185,0,easy,2510
21,user185,1,easy,1711
14,user180,0,medium,26820
22,user185,0,easy,2799
23,user185,1,easy,2400
24,user185,0,easy,1551
30,user189,0,easy,47919
25,user185,1,easy,1911
26,user185,1,easy,4698
7,user181,1,easy,43493
22,user174,0,easy,62985
27,user185,0,easy,2600
1,user160,0,very hard,148835
12,user188,0,very hard,58274
